1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES
1005,IL,Illinois,03,H0IL03125,,Catherine A. ,O'Shea,"O'Shea, Catherine A. ",,R,5541,32.4890061565523%,,,,,,,,,,,
1006,IL,Illinois,03,H6IL03148,,Arthur J. ,Jones,"Jones, Arthur J. ",,R,1708,10.0146584579302%,,,,,,,,,,,
1007,IL,Illinois,03,H6IL05184,,Richard,Mayers,"Mayers, Richard",,W(R),2,0.0117267663441806%,,,,,,,,,,,
1008,IL,Illinois,03,n/a,,,,,Party Votes:,R,17055,,,,,,,,,,,,
1009,IL,Illinois,03,n/a,,,,,District Votes:,,127907,,,,306848,,,,,,,,
1010,IL,Illinois,04,H8IL04134,(I),"Jesus ""Chuy""",Garcia,"Garcia, Jesus ""Chuy""",,D,88874,100%,,,187219,84.0538392813049%,,,,,W,W,
1011,IL,Illinois,04,n/a,,,,,Party Votes:,D,88874,,,,,,,,,,,,
1012,IL,Illinois,04,H0IL04081,,Jesus,Solorio,"Solorio, Jesus",,R,#,,,,35518,15.9461607186951%,,,,,W,,"# Christopher Lasky died in December 2019, and Jesus Solorio was selected by the party to fill the vacancy on the general election ballot."
1013,IL,Illinois,04,H0IL04073,,Christopher,Lasky,"Lasky, Christopher",,R,4059,100%,,,,,,,,,,,
1014,IL,Illinois,04,n/a,,,,,Party Votes:,R,4059,,,,,,,,,,,,
1015,IL,Illinois,04,n/a,,,,,District Votes:,,92933,,,,222737,,,,,,,,
1016,IL,Illinois,05,H0IL05096,(I),Mike ,Quigley,"Quigley, Mike ",,D,97865,75.1045623728944%,,,255661,70.7670972760061%,,,,,W,W,
1017,IL,Illinois,05,H0IL05351,,Brian ,Burns,"Burns, Brian ",,D,32440,24.8954376271056%,,,,,,,,,,,
1018,IL,Illinois,05,n/a,,,,,Party Votes:,D,130305,,,,,,,,,,,,
1019,IL,Illinois,05,H8IL05073,,Tommy ,Hanson,"Hanson, Tommy ",,R,9764,83.0483966998384%,,,96200,26.6282098480088%,,,,,W,,
1020,IL,Illinois,05,H4IL05130,,Kimball,Ladien,"Ladien, Kimball",,R,1993,16.9516033001616%,,,,,,,,,,,
1021,IL,Illinois,05,n/a,,,,,Party Votes:,R,11757,,,,,,,,,,,,
1022,IL,Illinois,05,H0IL05377,,Thomas J,Wilda,"Wilda, Thomas J",,GRE,,,,,9408,2.60413927494872%,,,,,W,,
1023,IL,Illinois,05,n/a,,Frank,Rowder,"Rowder, Frank",,W,,,,,2,0.00055360103634114%,,,,,,,
1024,IL,Illinois,05,n/a,,,,,District Votes:,,142062,,,,361271,,,,,,,,
1025,IL,Illinois,06,H8IL06139,(I),Sean,Casten,"Casten, Sean",,D,82909,100%,,,213777,52.8174390421671%,,,,,W,W,
1026,IL,Illinois,06,n/a,,,,,Party Votes:,D,82909,,,,,,,,,,,,
1027,IL,Illinois,06,H0IL06060,,Jeanne ,Ives,"Ives, Jeanne ",,R,29144,70.8031679704582%,,,183891,45.433567141943%,,,,,W,,
1028,IL,Illinois,06,H0IL06078,,Gordan (Jay),Kinzler,"Kinzler, Gordan (Jay)",,R,12017,29.1944026043438%,,,,,,,,,,,
1029,IL,Illinois,06,H6IL05184,,Richard,Mayers,"Mayers, Richard",,W(R),1,0.00242942519799815%,,,,,,,,,,,
1030,IL,Illinois,06,n/a,,,,,Party Votes:,R,41162,,,,,,,,,,,,
1031,IL,Illinois,06,H0IL06086,,Bill,Redpath,"Redpath, Bill",,LIB,,,,,7079,1.74899381588993%,,,,,,,
1032,IL,Illinois,06,n/a,,,,,District Votes:,,124071,,,,404747,,,,,,,,
1033,IL,Illinois,07,H4IL07037,(I),Danny K. ,Davis,"Davis, Danny K. ",,D,79813,60.1885298442744%,,,249383,80.4129262756023%,,,,,W,W,
1034,IL,Illinois,07,H0IL07167,,Kina ,Collins,"Collins, Kina ",,D,18399,13.875042419215%,,,,,,,,,,,
1035,IL,Illinois,07,H8IL07103,,Anthony,Clark,"Clark, Anthony",,D,17206,12.9753780023378%,,,,,,,,,,,
1036,IL,Illinois,07,H0IL07175,,Kristine ,Schanbacher,"Schanbacher, Kristine ",,D,17187,12.9610497341729%,,,,,,,,,,,
1037,IL,Illinois,07,n/a,,,,,Party Votes:,D,132605,,,,,,,,,,,,
1038,IL,Illinois,07,H8IL17045,,Craig,Cameron,"Cameron, Craig",,R,3799,100%,,,41390,13.346102254553%,,,,,W,,
1039,IL,Illinois,07,n/a,,,,,Party Votes:,R,3799,,,,,,,,,,,,
1040,IL,Illinois,07,H0IL07159,,Tracy,Jennings,"Jennings, Tracy",,IND,,,,,19355,6.24097146984471%,,,,,,,
1041,IL,Illinois,07,n/a,,,,,District Votes:,,136404,,,,310128,,,,,,,,
1042,IL,Illinois,08,H6IL08147,(I),Raja,Krishnamoorthi,"Krishnamoorthi, Raja",,D,51829,79.9423133280891%,,,186251,73.1606815985671%,,,,,W,W,
1043,IL,Illinois,08,H0IL08157,,William,Olson,"Olson, William",,D,8441,13.0196042139034%,,,,,,,,,,,
1044,IL,Illinois,08,H0IL08140,,Inam,Hussain,"Hussain, Inam",,D,4563,7.0380824580075%,,,,,,,,,,,
1045,IL,Illinois,08,n/a,,,,,Party Votes:,D,64833,,,,,,,,,,,,
1046,IL,Illinois,08,H8IL12160,,Preston Gabriel,Nelson,"Nelson, Preston Gabriel",,LIB,,,,,68327,26.839318401433%,,,,,,,
1047,IL,Illinois,08,H6IL08196,,Joseph J.,Hantsch,"Hantsch, Joseph J.",,W(R),211,99.0610328638498%,,,,,,,,,,,
1048,IL,Illinois,08,H6IL05184,,Richard,Mayers,"Mayers, Richard",,W(R),2,0.938967136150235%,,,,,,,,,,,
1049,IL,Illinois,08,n/a,,,,,Party Votes:,R,213,,,,,,,,,,,,
1050,IL,Illinois,08,n/a,,,,,District Votes:,,65046,,,,254578,,,,,,,,
1051,IL,Illinois,09,H8IL09067,(I),Janice D. ,Schakowsky,"Schakowsky, Janice D. ",,D,127467,99.7222700317629%,,,262045,70.9822033209633%,,,,,W,W,
1052,IL,Illinois,09,H0IL09098,,Andrew,Heldut,"Heldut, Andrew",,W(D),355,0.27772996823708%,,,,,,,,,,,
1053,IL,Illinois,09,n/a,,,,,Party Votes:,D,127822,,,,,,,,,,,,
1054,IL,Illinois,09,H8IL09190,,Sargis,Sangari,"Sangari, Sargis",,R,11808,99.9915318824625%,,,107125,29.0177966790368%,,,,,W,,
1055,IL,Illinois,09,H6IL05184,,Richard,Mayers,"Mayers, Richard",,W(R),1,0.00846811753747142%,,,,,,,,,,,
1056,IL,Illinois,09,n/a,,,,,Party Votes:,R,11809,,,,,,,,,,,,
1057,IL,Illinois,09,n/a,,,,,District Votes:,,139631,,,,369170,,,,,,,,
1058,IL,Illinois,10,H2IL10068,(I),Brad,Schneider,"Schneider, Brad",,D,79126,99.854873108618%,,,202402,63.8745999987377%,,,,,W,W,
1059,IL,Illinois,10,H0IL10377,,Adam,Broad,"Broad, Adam",,W(D),115,0.145126891381987%,,,,,,,,,,,
1060,IL,Illinois,10,n/a,,,,,Party Votes:,D,79241,,,,,,,,,,,,
1061,IL,Illinois,10,H0IL10351,,Valerie Ramirez,Mukherjee,"Mukherjee, Valerie Ramirez",,R,14877,100%,,,114442,36.1159325157634%,,,,,W,,
1062,IL,Illinois,10,n/a,,,,,Party Votes:,R,14877,,,,,,,,,,,,
1063,IL,Illinois,10,H6IL10150,,Joseph W.,Kopsick,"Kopsick, Joseph W.",,W,,,,,18,0.00568049129938083%,,,,,,,
1064,IL,Illinois,10,n/a,,David,Rych,"Rych, David",,W,,,,,12,0.00378699419958722%,,,,,,,
1065,IL,Illinois,10,n/a,,,,,District Votes:,,94118,,,,316874,,,,,,,,
1066,IL,Illinois,11,H8IL14067,(I),Bill ,Foster,"Foster, Bill ",,D,46116,58.7180727800555%,,,194557,63.2958874606753%,,,,,W,W,
1067,IL,Illinois,11,H0IL11102,,Rachel,Ventura,"Ventura, Rachel",,D,32422,41.2819272199445%,,,,,,,,,,,
1068,IL,Illinois,11,n/a,,,,,Party Votes:,D,78538,,,,,,,,,,,,
1069,IL,Illinois,11,H0IL11110,,Rick,Laib,"Laib, Rick",,R,12474,54.0538198206006%,,,112807,36.6998832053147%,,,,,W,,
1070,IL,Illinois,11,H0IL11128,,Krishna K.,Bansal,"Bansal, Krishna K.",,R,10603,45.9461801793994%,,,,,,,,,,,
1071,IL,Illinois,11,n/a,,,,,Party Votes:,R,23077,,,,,,,,,,,,
