1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES
2101,NJ,New Jersey,01,H4NJ01118,,Claire H.,Gustafson,"Gustafson, Claire H.",,R,27616,100%,,,144463,37.5199335116744%,,,,,W,,
2102,NJ,New Jersey,01,n/a,,,,,Party Votes:,R,27616,,,,,,,,,,,,
2103,NJ,New Jersey,01,n/a,,,,,District Votes:,,121700,,,,385030,,,,,,,,
2104,NJ,New Jersey,02,H8NJ02166,(I),Jeff,Van Drew,"Van Drew, Jeff",,R,45226,82.3533696305334%,,,195526,51.9260543836493%,,,,,W,W,
2105,NJ,New Jersey,02,H0NJ02148,,Robert W.,Patterson,"Patterson, Robert W.",,R,9691,17.6466303694667%,,,,,,,,,,,
2106,NJ,New Jersey,02,n/a,,,,,Party Votes:,R,54917,,,,,,,,,,,,
2107,NJ,New Jersey,02,H0NJ02171,,Amy ,Kennedy,"Kennedy, Amy ",,D,43414,62.0918491397188%,,,173849,46.1692697060394%,,,,,W,,
2108,NJ,New Jersey,02,H0NJ02197,,Brigid Callahan,Harrison,"Harrison, Brigid Callahan",,D,15560,22.2543228593086%,,,,,,,,,,,
2109,NJ,New Jersey,02,H8NJ02174,,Will,Cunningham,"Cunningham, Will",,D,8946,12.7948054176976%,,,,,,,,,,,
2110,NJ,New Jersey,02,H0NJ02205,,John,Francis,"Francis, John",,D,1061,1.51747021553512%,,,,,,,,,,,
2111,NJ,New Jersey,02,H0NJ02189,,Robert D.,Turkavage,"Turkavage, Robert D.",,D,938,1.34155236773981%,,,,,,,,,,,
2112,NJ,New Jersey,02,n/a,,,,,Party Votes:,D,69919,,,,,,,,,,,,
2113,NJ,New Jersey,02,H0NJ02239,,Jenna,Harvey,"Harvey, Jenna",,JMH,,,,,4136,1.09840205870715%,,,,,,,
2114,NJ,New Jersey,02,H0NJ02221,,Jesse,Ehrnstrom,"Ehrnstrom, Jesse",,LIB,,,,,3036,0.806273851604182%,,,,,,,
2115,NJ,New Jersey,02,n/a,,,,,District Votes:,,124836,,,,376547,,,,,,,,
2116,NJ,New Jersey,03,H8NJ03206,(I),Andy,Kim,"Kim, Andy",,D,79423,100%,,,229840,53.2330311606858%,,,,,W,W,
2117,NJ,New Jersey,03,n/a,,,,,Party Votes:,D,79423,,,,,,,,,,,,
2118,NJ,New Jersey,03,H0NJ02155,,David ,Richter,"Richter, David ",,R,35824,61.1414527580557%,,,196327,45.4711160315174%,,,,,W,,
2119,NJ,New Jersey,03,H0NJ03211,,Kate,Gibbs,"Gibbs, Kate",,R,22768,38.8585472419443%,,,,,,,,,,,
2120,NJ,New Jersey,03,n/a,,,,,Party Votes:,R,58592,,,,,,,,,,,,
2121,NJ,New Jersey,03,H0NJ03229,,Martin,Weber,"Weber, Martin",,FTP,,,,,3724,0.862512217379019%,,,,,,,
2122,NJ,New Jersey,03,H6NJ12235,,Robert,Shapiro,"Shapiro, Robert",,ICC,,,,,1871,0.433340590417869%,,,,,,,
2123,NJ,New Jersey,03,n/a,,,,,District Votes:,,138015,,,,431762,,,,,,,,
2124,NJ,New Jersey,04,H8NJ04014,(I),Christopher H.,Smith,"Smith, Christopher H.",,R,51636,94.7640808236525%,,,254103,59.8779832598122%,,,,,W,W,
2125,NJ,New Jersey,04,H0NJ04185,,Alter Eliezer,Richter,"Richter, Alter Eliezer",,R,2853,5.23591917634752%,,,,,,,,,,,
2126,NJ,New Jersey,04,n/a,,,,,Party Votes:,R,54489,,,,,,,,,,,,
2127,NJ,New Jersey,04,H0NJ04151,,Stephanie,Schmid,"Schmid, Stephanie",,D,38444,67.4231396552027%,,,162420,38.2733853636466%,,,,,W,,
2128,NJ,New Jersey,04,H0NJ04144,,Christine,Conforti,"Conforti, Christine",,D,14331,25.1337273540399%,,,,,,,,,,,
2129,NJ,New Jersey,04,H0NJ04128,,David ,Applefield,"Applefield, David ",,D,4244,7.44313299075747%,,,,,,,,,,,
2130,NJ,New Jersey,04,n/a,,,,,Party Votes:,D,57019,,,,,,,,,,,,
2131,NJ,New Jersey,04,H6NJ04182,,Hank,Schroeder,"Schroeder, Hank",,MCH,,,,,3195,0.752884289107567%,,,,,,,
2132,NJ,New Jersey,04,H8NJ04220,,Michael J.,Rufo,"Rufo, Michael J.",,LIB,,,,,2583,0.608669833729216%,,,,,,,
2133,NJ,New Jersey,04,H0NJ04193,,Andrew,Pachuta,"Pachuta, Andrew",,CSP,,,,,2067,0.487077253704332%,,,,,,,
2134,NJ,New Jersey,04,n/a,,,,,District Votes:,,111508,,,,424368,,,,,,,,
2135,NJ,New Jersey,05,H6NJ05171,(I),Josh,Gottheimer,"Gottheimer, Josh",,D,52406,66.484826956257%,,,225175,53.1529426205516%,,,,,W,W,
2136,NJ,New Jersey,05,H0NJ05208,,Arati S.,Kreibich,"Kreibich, Arati S.",,D,26418,33.515173043743%,,,,,,,,,,,
2137,NJ,New Jersey,05,n/a,,,,,Party Votes:,D,78824,,,,,,,,,,,,
2138,NJ,New Jersey,05,H0NJ05174,,Frank T. ,Pallotta,"Pallotta, Frank T. ",,R,25834,51.6742009041085%,,,193333,45.6365842374114%,,,,,W,,
2139,NJ,New Jersey,05,H8NJ05136,,"John J., Jr.",McCann,"McCann, John J., Jr.",,R,16220,32.4438932671921%,,,,,,,,,,,
2140,NJ,New Jersey,05,H0NJ05166,,James ,Baldini,"Baldini, James ",,R,5126,10.2532303876465%,,,,,,,,,,,
2141,NJ,New Jersey,05,H0NJ05224,,Hector Luis,Castillo,"Castillo, Hector Luis",,R,2814,5.62867544105293%,,,,,,,,,,,
2142,NJ,New Jersey,05,n/a,,,,,Party Votes:,R,49994,,,,,,,,,,,,
2143,NJ,New Jersey,05,H0NJ05240,,Louis A.,Vellucci,"Vellucci, Louis A.",,AV,,,,,5128,1.21047314203703%,,,,,,,
2144,NJ,New Jersey,05,n/a,,,,,District Votes:,,128818,,,,423636,,,,,,,,
2145,NJ,New Jersey,06,H8NJ03073,(I),"Frank, Jr.",Pallone,"Pallone, Frank, Jr.",,D,56660,79.1982332056694%,,,199648,61.1651675204039%,,,,,W,W,
2146,NJ,New Jersey,06,H0NJ06206,,"Russell ""Russ""",Cirincione,"Cirincione, Russell ""Russ""",,D,12139,16.9676553632831%,,,,,,,,,,,
2147,NJ,New Jersey,06,H0NJ06248,,Amani,Al-Khatahtbeh,"Al-Khatahtbeh, Amani",,D,2743,3.8341114310475%,,,,,,,,,,,
2148,NJ,New Jersey,06,n/a,,,,,Party Votes:,D,71542,,,,,,,,,,,,
2149,NJ,New Jersey,06,H0NJ06255,,Christian,Onuoha,"Onuoha, Christian",,W(R)/R,508,100%,,,126760,38.8348324795961%,,,,,W,,
2150,NJ,New Jersey,06,n/a,,,,,Party Votes:,R,508,,,,,,,,,,,,
2151,NJ,New Jersey,06,n/a,,,,,District Votes:,,72050,,,,326408,,,,,,,,
2152,NJ,New Jersey,07,H8NJ07223,(I),Tom,Malinowski,"Malinowski, Tom",,D,80335,100%,,,219688,50.6138736127654%,,,,,W,W,
2153,NJ,New Jersey,07,n/a,,,,,Party Votes:,D,80335,,,,,,,,,,,,
2154,NJ,New Jersey,07,H0NJ07261,,"Thomas H., Jr.",Kean,"Kean, Thomas H., Jr.",,R,45395,79.3938121972122%,,,214359,49.3861263872346%,,,,,W,,
2155,NJ,New Jersey,07,H8NJ07249,,Raafat,Barsoom,"Barsoom, Raafat",,R,6151,10.7578222012348%,,,,,,,,,,,
2156,NJ,New Jersey,07,H0NJ07253,,Tom,Phillips,"Phillips, Tom",,R,5631,9.84836560155307%,,,,,,,,,,,
2157,NJ,New Jersey,07,n/a,,,,,Party Votes:,R,57177,,,,,,,,,,,,
2158,NJ,New Jersey,07,n/a,,,,,District Votes:,,137512,,,,434047,,,,,,,,
2159,NJ,New Jersey,08,H6NJ13191,(I),Albio,Sires,"Sires, Albio",,D,47814,70.3322889545916%,,,176758,74.0276329400728%,,,,,W,W,
2160,NJ,New Jersey,08,H0NJ08129,,Hector ,Oseguera,"Oseguera, Hector ",,D,18557,27.2965300148567%,,,,,,,,,,,
2161,NJ,New Jersey,08,H0NJ08145,,Will ,Sheehan,"Sheehan, Will ",,D,1612,2.37118103055176%,,,,,,,,,,,
2162,NJ,New Jersey,08,n/a,,,,,Party Votes:,D,67983,,,,,,,,,,,,
2163,NJ,New Jersey,08,H0NJ08152,,Jason Todd,Mushnick,"Mushnick, Jason Todd",,R,5899,100%,,,58686,24.5781558216381%,,,,,W,,
2164,NJ,New Jersey,08,n/a,,,,,Party Votes:,R,5899,,,,,,,,,,,,
2165,NJ,New Jersey,08,H6NJ08175,,Dan,Delaney,"Delaney, Dan",,LIB,,,,,3329,1.39421123828909%,,,,,,,
2166,NJ,New Jersey,08,n/a,,,,,District Votes:,,73882,,,,238773,,,,,,,,
2167,NJ,New Jersey,09,H6NJ08118,(I),"Bill, Jr.",Pascrell,"Pascrell, Bill, Jr.",,D,52422,80.6343444287209%,,,203674,65.7985023034031%,,,,,W,W,
2168,NJ,New Jersey,09,H0NJ09176,,Zinovia,Spezakis,"Spezakis, Zinovia",,D,10998,16.9168768842675%,,,,,,,,,,,
2169,NJ,New Jersey,09,H0NJ09184,,"Alpaslan ""Alp""",Basaran,"Basaran, Alpaslan ""Alp""",,D,1592,2.44877868701163%,,,,,,,,,,,
2170,NJ,New Jersey,09,n/a,,,,,Party Votes:,D,65012,,,,,,,,,,,,
2171,NJ,New Jersey,09,H0NJ09200,,Billy,Prempeh,"Prempeh, Billy",,R,10055,74.1792696421985%,,,98629,31.8628812891304%,,,,,W,,
2172,NJ,New Jersey,09,H0NJ09192,,Timothy C. ,Walsh,"Walsh, Timothy C. ",,R,3500,25.8207303578015%,,,,,,,,,,,
2173,NJ,New Jersey,09,n/a,,,,,Party Votes:,R,13555,,,,,,,,,,,,
2174,NJ,New Jersey,09,H0NJ09218,,Chris,Auriemma,"Auriemma, Chris",,VFC,,,,,7239,2.33861640746652%,,,,,,,
2175,NJ,New Jersey,09,n/a,,,,,District Votes:,,78567,,,,309542,,,,,,,,
2176,NJ,New Jersey,10,H2NJ10154,(I),"Donald M., Jr.",Payne,"Payne, Donald M., Jr.",,D,83436,88.4530574166737%,,,241522,83.2808636973335%,,,,,W,W,
2177,NJ,New Jersey,10,H0NJ10208,,Eugene D. ,Mazo,"Mazo, Eugene D. ",,D,6653,7.05304893562887%,,,,,,,,,,,
2178,NJ,New Jersey,10,H0NJ10190,,John J. ,Flora,"Flora, John J. ",,D,4239,4.4938936476974%,,,,,,,,,,,
2179,NJ,New Jersey,10,n/a,,,,,Party Votes:,D,94328,,,,,,,,,,,,
2180,NJ,New Jersey,10,H0NJ10232,,Jennifer,Zinone,"Zinone, Jennifer",,R,3113,100%,,,40298,13.895430831457%,,,,,W,,
2181,NJ,New Jersey,10,n/a,,,,,Party Votes:,R,3113,,,,,,,,,,,,
2182,NJ,New Jersey,10,H0NJ10257,,Akil,Khalfani,"Khalfani, Akil",,NSF,,,,,3537,1.21961732222103%,,,,,,,
2183,NJ,New Jersey,10,H0NJ10240,,Khaliah,Fitchette,"Fitchette, Khaliah",,BYL,,,,,3480,1.19996275977642%,,,,,,,
2184,NJ,New Jersey,10,H0NJ10265,,John,Mirrione,"Mirrione, John",,LIB,,,,,1172,0.404125389212059%,,,,,,,
2185,NJ,New Jersey,10,n/a,,,,,District Votes:,,97441,,,,290009,,,,,,,,
2186,NJ,New Jersey,11,H8NJ11142,(I),Mikie,Sherrill,"Sherrill, Mikie",,D,79961,100%,,,235163,53.3036701905815%,,,,,W,W,
2187,NJ,New Jersey,11,n/a,,,,,Party Votes:,D,79961,,,,,,,,,,,,
2188,NJ,New Jersey,11,H0NJ07279,,Rosemary,Becchi,"Becchi, Rosemary",,R,46774,100%,,,206013,46.6963298094185%,,,,,W,,
2189,NJ,New Jersey,11,n/a,,,,,Party Votes:,R,46774,,,,,,,,,,,,
2190,NJ,New Jersey,11,n/a,,,,,District Votes:,,126735,,,,441176,,,,,,,,
2191,NJ,New Jersey,12,H4NJ12149,(I),Bonnie Watson,Coleman,"Coleman, Bonnie Watson",,D,82422,89.1858552631579%,,,230883,65.6430449925368%,,,,,W,W,
2192,NJ,New Jersey,12,H0NJ12212,,Lisa,McCormick,"McCormick, Lisa",,D,9994,10.8141447368421%,,,,,,,,,,,
2193,NJ,New Jersey,12,n/a,,,,,Party Votes:,D,92416,,,,,,,,,,,,
2194,NJ,New Jersey,12,H0NJ12204,,Mark,Razzoli,"Razzoli, Mark",,R,20074,100%,,,114591,32.5797142654062%,,,,,W,,
2195,NJ,New Jersey,12,n/a,,,,,Party Votes:,R,20074,,,,,,,,,,,,
2196,NJ,New Jersey,12,H2NJ03191,,"Edward ""NJ Weedman""",Forchion,"Forchion, Edward ""NJ Weedman""",,NSF,,,,,4512,1.28282038524415%,,,,,,,
2197,NJ,New Jersey,12,H0NJ12220,,Kenneth J.,Cody,"Cody, Kenneth J.",,TVH,,,,,1739,0.494420356812851%,,,,,,,
2198,NJ,New Jersey,12,n/a,,,,,District Votes:,,112490,,,,351725,,,,,,,,
2199,NJ,New Jersey,H,n/a,,,,,Total State Votes:,,1323554,,,,4433023,,,,,,,,
2200,,,,n/a,,,,,,,,,,,,,,,,,,,
2201,NM,New Mexico,01,H8NM01331,(I),Deb,Haaland,"Haaland, Deb",,D,83032,100%,,,186953,58.1882411528526%,,,,,W,W,
2202,NM,New Mexico,01,n/a,,,,,Party Votes:,D,83032,,,,,,,,,,,,
2203,NM,New Mexico,01,H0NM01189,,Michelle Garcia,Holmes,"Holmes, Michelle Garcia",,R,23783,48.1164522133204%,,,134337,41.8117588471474%,,,,,W,,
2204,NM,New Mexico,01,H0NM01197,,Jared R.,Vander Dussen,"Vander Dussen, Jared R.",,R,19847,40.153354374039%,,,,,,,,,,,
2205,NM,New Mexico,01,H0NM03094,,Brett,Kokinadis,"Kokinadis, Brett",,R,5798,11.7301934126406%,,,,,,,,,,,
2206,NM,New Mexico,01,n/a,,,,,Party Votes:,R,49428,,,,,,,,,,,,
2207,NM,New Mexico,01,n/a,,,,,District Votes:,,132460,,,,321290,,,,,,,,
2208,NM,New Mexico,02,H8NM02156,,Yvette,Herrell,"Herrell, Yvette",,R,26968,44.6098622070038%,,,142283,53.7026412929427%,,,,,W,W,
2209,NM,New Mexico,02,H0NM02229,,Claire,Chase,"Chase, Claire",,R,19107,31.6063718922138%,,,,,,,,,,,
2210,NM,New Mexico,02,H0NM02211,,Chris,Mathys,"Mathys, Chris",,R,14378,23.7837659007824%,,,,,,,,,,,
2211,NM,New Mexico,02,n/a,,,,,Party Votes:,R,60453,,,,,,,,,,,,
2212,NM,New Mexico,02,H8NM02248,(I),Xochitl Torres,Small,"Small, Xochitl Torres",,D,48095,100%,,,122546,46.2531987650314%,,,,,W,,
2213,NM,New Mexico,02,n/a,,,,,Party Votes:,D,48095,,,,,,,,,,,,
2214,NM,New Mexico,02,H0NM02237,,Steve,Jones,"Jones, Steve",,W,,,,,117,0.0441599420259223%,,,,,,,
2215,NM,New Mexico,02,n/a,,,,,District Votes:,,108548,,,,264946,,,,,,,,
2216,NM,New Mexico,03,H0NM03102,,Teresa Leger,Fernandez,"Fernandez, Teresa Leger",,D,44480,42.7988607497498%,,,186282,58.6811068269449%,,,,,W,W,
2217,NM,New Mexico,03,H0NM03110,,Valerie E.,Plame,"Plame, Valerie E.",,D,25775,24.8008236471403%,,,,,,,,,,,
2218,NM,New Mexico,03,H0NM03078,,Joseph L.,Sanchez,"Sanchez, Joseph L.",,D,12292,11.8274189823724%,,,,,,,,,,,
2219,NM,New Mexico,03,H0NM03136,,Marco Peter,Serna,"Serna, Marco Peter",,D,8292,7.97860056962512%,,,,,,,,,,,
2220,NM,New Mexico,03,H0NM03151,,Laura M.,Montoya,"Montoya, Laura M.",,D,6380,6.13886536833192%,,,,,,,,,,,
2221,NM,New Mexico,03,H0NM03185,,John,Blair,"Blair, John",,D,4533,4.36167346624586%,,,,,,,,,,,
2222,NM,New Mexico,03,H0NM03177,,Kyle J.,Tisdel,"Tisdel, Kyle J.",,D,2176,2.09375721653452%,,,,,,,,,,,
2223,NM,New Mexico,03,n/a,,,,,Party Votes:,D,103928,,,,,,,,,,,,
2224,NM,New Mexico,03,H0NM03201,,Alexis M.,Johnson,"Johnson, Alexis M.",,R,16512,36.7439583426054%,,,131166,41.3188931730551%,,,,,W,,
2225,NM,New Mexico,03,H8NM03170,,Harry B.,Montoya,"Montoya, Harry B.",,R,15919,35.4243624549379%,,,,,,,,,,,
2226,NM,New Mexico,03,H0NM03193,,Karen Evette,Bedonie,"Bedonie, Karen Evette",,R,12477,27.7649205572122%,,,,,,,,,,,
2227,NM,New Mexico,03,n/a,,Angela Gale,Morales,"Morales, Angela Gale",,W(R),30,0.0667586452445592%,,,,,,,,,,,
2228,NM,New Mexico,03,n/a,,,,,Party Votes:,R,44938,,,,,,,,,,,,
2229,NM,New Mexico,03,n/a,,,,,District Votes:,,148866,,,,317448,,,,,,,,
2230,NM,New Mexico,H,n/a,,,,,Total State Votes:,,389874,,,,903684,,,,,,,,
2231,,,,n/a,,,,,,,,,,,,,,,,,,,
2232,NY,New York,01,H8NY01148,(I),Lee M.,Zeldin,"Zeldin, Lee M.",,R,Unopposed,,,,180855,48.2130860853709%,,,205715,54.8403693790721%,W,W,
2233,NY,New York,01,H8NY01148,(I),Lee M.,Zeldin,"Zeldin, Lee M.",,CRV,Unopposed,,,,21611,5.76115121722347%,,,205715,54.8403693790721%,W,W,
2234,NY,New York,01,H8NY01148,(I),Lee M.,Zeldin,"Zeldin, Lee M.",,IDP,Unopposed,,,,3249,0.866132076477676%,,,205715,54.8403693790721%,W,W,
2235,NY,New York,01,H0NY01186,,Nancy S.,Goroff,"Goroff, Nancy S.",,D,17970,36.0293527949314%,,,160978,42.9141918766462%,,,169294,45.1311061111763%,W,,
2236,NY,New York,01,H8NY01155,,Perry,Gershon,"Gershon, Perry",,D,17303,34.6920362498998%,,,,,,,,,,,
2237,NY,New York,01,H0NY01202,,Bridget M.,Fleming,"Fleming, Bridget M.",,D,13718,27.5042104418959%,,,,,,,,,,,
2238,NY,New York,01,H0NY01210,,Gregory-John,Fischer,"Fischer, Gregory-John",,D,775,1.55385355682092%,,,,,,,,,,,
2239,NY,New York,01,n/a,,,Scattered,Scattered,,W(D),110,0.220546956452001%,,,,,,,,,,,
2240,NY,New York,01,n/a,,,,,Party Votes:,D,49876,,,,,,,,,,,,
2241,NY,New York,01,H0NY01186,,Nancy S.,Goroff,"Goroff, Nancy S.  #",,WF,#,,,,8316,2.21691423453012%,,,169294,45.1311061111763%,W,,"#  Nancy Goroff became the Working Families candidate as a result of substitution, replacing Joshua Goldfein."
2242,NY,New York,01,H0NY01228,,Joshua E.,Goldfein,"Goldfein, Joshua E.  #",,WF,Unopposed,,,,,,,,,,,,
2243,NY,New York,01,n/a,,,Scattered,Scattered,,W,,,,,107,0.0285245097516502%,,,,,,,
2244,NY,New York,01,n/a,,,,,District Votes:,,49876,,,,375116,,,,,,,,
2245,NY,New York,02,H0NY02234,,Andrew R.,Garbarino,"Garbarino, Andrew R.",,R,17462,63.229170438498%,,,158151,47.1862944298744%,,,177379,52.923204530333%,W,W,
2246,NY,New York,02,H0NY02267,,Mike,LiPetri,"LiPetri, Mike",,R,9867,35.7279936271137%,,,,,,,,,,,
2247,NY,New York,02,n/a,,,Scattered,Scattered,,W(R),288,1.04283593438824%,,,,,,,,,,,
2248,NY,New York,02,n/a,,,,,Party Votes:,R,27617,,,,,,,,,,,,
2249,NY,New York,02,H0NY02234,,Andrew R.,Garbarino,"Garbarino, Andrew R.",,CRV,Unopposed,,,,17434,5.20164815328661%,,,177379,52.923204530333%,W,W,
2250,NY,New York,02,H0NY02234,,Andrew R.,Garbarino,"Garbarino, Andrew R.",,LIB,Unopposed,,,,1491,0.444858173485737%,,,177379,52.923204530333%,W,W,
2251,NY,New York,02,H0NY02234,,Andrew R.,Garbarino,"Garbarino, Andrew R.",,SAM,Unopposed,,,,303,0.0904037736862362%,,,177379,52.923204530333%,W,W,
2252,NY,New York,02,H0NY02192,,Jackie,Gordon,"Gordon, Jackie",,D,25317,72.2826552462527%,,,144849,43.2174792563618%,,,154246,46.0211896897927%,W,,
2253,NY,New York,02,H0NY02242,,Patricia,Maher,"Maher, Patricia",,D,9475,27.0521056388294%,,,,,,,,,,,
2254,NY,New York,02,n/a,,,Scattered,Scattered,,W(D),233,0.665239114917916%,,,,,,,,,,,
2255,NY,New York,02,n/a,,,,,Party Votes:,D,35025,,,,,,,,,,,,
2256,NY,New York,02,H0NY02192,,Jackie,Gordon,"Gordon, Jackie",,WF,Unopposed,,,,6380,1.90355140633065%,,,154246,46.0211896897927%,W,,
2257,NY,New York,02,H0NY02192,,Jackie,Gordon,"Gordon, Jackie",,IDP,Unopposed,,,,3017,0.900159027100247%,,,154246,46.0211896897927%,W,,
2258,NY,New York,02,H0NY02309,,Harry R.,Burger,"Burger, Harry R.",,GRE,Unopposed,,,,3448,1.02875317382885%,,,,,,,
2259,NY,New York,02,n/a,,,Scattered,Scattered,,W,,,,,90,0.0268526060454167%,,,,,,,
2260,NY,New York,02,n/a,,,,,District Votes:,,62642,,,,335163,,,,,,,,
2261,NY,New York,03,H6NY03247,(I),Thomas R.,Suozzi,"Suozzi, Thomas R.",,D,36812,66.3757663180671%,,,196056,52.5928091828715%,,,208555,55.945716117506%,W,W,
2262,NY,New York,03,H0NY03075,,Melanie,D'Arrigo,"D'Arrigo, Melanie",,D,14269,25.7284529390552%,,,,,,,,,,,
2263,NY,New York,03,H0NY03059,,Michael,Weinstock,"Weinstock, Michael",,D,4284,7.72448611611973%,,,,,,,,,,,
2264,NY,New York,03,n/a,,,Scattered,Scattered,,W(D),95,0.171294626758024%,,,,,,,,,,,
2265,NY,New York,03,n/a,,,,,Party Votes:,D,55460,,,,,,,,,,,,
2266,NY,New York,03,H6NY03247,(I),Thomas R.,Suozzi,"Suozzi, Thomas R.  #",,WF,#,,,,9203,2.46874170089141%,,,208555,55.945716117506%,W,W,#  Thomas Suozzi replaced Bob Cohen as the candidate on the Working Families line.
2267,NY,New York,03,H8NY19280,,Bob,Cohen,"Cohen, Bob  #",,WF,Unopposed,,,,,,,,,,,,
2268,NY,New York,03,H6NY03247,(I),Thomas R.,Suozzi,"Suozzi, Thomas R.",,IDP,Unopposed,,,,3296,0.884165233743136%,,,208555,55.945716117506%,W,W,
2269,NY,New York,03,H0NY03083,,George A.D.,Santos,"Santos, George A.D.",,R,Unopposed,,,,147461,39.5570053194771%,,,161931,43.4386409178579%,W,,
2270,NY,New York,03,H0NY03083,,George A.D.,Santos,"Santos, George A.D.",,CRV,Unopposed,,,,14470,3.88163559838082%,,,161931,43.4386409178579%,W,,
2271,NY,New York,03,"H0NY03091
",,Howard,Rabin,"Rabin, Howard",,LIB,Unopposed,,,,2156,0.578355656538289%,,,,,,,
2272,NY,New York,03,n/a,,,Scattered,Scattered,,W,,,,,139,0.037287308097784%,,,,,,,
2273,NY,New York,03,n/a,,,,,District Votes:,,55460,,,,372781,,,,,,,,
2274,NY,New York,04,H4NY04075,(I),Kathleen M.,Rice,"Rice, Kathleen M.",,D,Unopposed,,,,199762,56.1267953876239%,,,,,W,W,
2275,NY,New York,04,H0NY04156,,Douglas L.,Tuman,"Tuman, Douglas L.",,R,10898,70.6469596784649%,,,139559,39.2116590617906%,,,153007,42.9901211535436%,W,,
2276,NY,New York,04,H0NY04149,,Cindy B.,Grosz,"Grosz, Cindy B.",,R,4292,27.823155711137%,,,,,,,,,,,
2277,NY,New York,04,n/a,,,Scattered,Scattered,,W(R),236,1.52988461039803%,,,,,,,,,,,
2278,NY,New York,04,n/a,,,,,Party Votes:,R,15426,,,,,,,,,,,,
2279,NY,New York,04,H0NY04156,,Douglas L.,Tuman,"Tuman, Douglas L.",,CRV,Unopposed,,,,13448,3.77846209175302%,,,153007,42.9901211535436%,W,,
2280,NY,New York,04,H0NY04172,,Joseph R.,Naham,"Naham, Joseph R.",,GRE,,,,,3024,0.849648227651779%,,,,,,,
2281,NY,New York,04,n/a,,,Scattered,Scattered,,W,,,,,119,0.0334352311807413%,,,,,,,
2282,NY,New York,04,n/a,,,,,District Votes:,,15426,,,,355912,,,,,,,,
2283,NY,New York,05,H8NY06048,(I),Gregory W.,Meeks,"Meeks, Gregory W.",,D,50044,75.6282963836122%,,,229125,99.3263365976097%,,,,,W,W,
2284,NY,New York,05,H0NY05070,,Shaniyat,Chowdhury,"Chowdhury, Shaniyat",,D,15951,24.1057260733554%,,,,,,,,,,,
2285,NY,New York,05,n/a,,,Scattered,Scattered,,W(D),176,0.265977543032446%,,,,,,,,,,,
2286,NY,New York,05,n/a,,,,,Party Votes:,D,66171,,,,,,,,,,,,
2287,NY,New York,05,n/a,,,Scattered,Scattered,,W,,,,,1554,0.673663402390335%,,,,,,,
2288,NY,New York,05,n/a,,,,,District Votes:,,66171,,,,230679,,,,,,,,
2289,NY,New York,06,H2NY06116,(I),Grace,Meng,"Meng, Grace",,D,30759,65.2600089109541%,,,144149,61.6247851774584%,,,158862,67.9147036945202%,W,W,
2290,NY,New York,06,H0NY06078,,Melquiades R.,Gagarin,"Gagarin, Melquiades R.",,D,9447,20.0432817770988%,,,,,,,,,,,
2291,NY,New York,06,H0NY06060,,Sandra,Choi,"Choi, Sandra",,D,6757,14.3360278361233%,,,,,,,,,,,
2292,NY,New York,06,n/a,,,Scattered,Scattered,,W(D),170,0.360681475823733%,,,,,,,,,,,
2293,NY,New York,06,n/a,,,,,Party Votes:,D,47133,,,,,,,,,,,,
2294,NY,New York,06,H2NY06116,(I),Grace,Meng,"Meng, Grace",,WF,Unopposed,,,,14713,6.28991851706183%,,,158862,67.9147036945202%,W,W,
2295,NY,New York,06,H0NY06086,,Thomas J.,Zmich,"Zmich, Thomas J.",,R,Unopposed,,,,67735,28.9572235949965%,,,74829,31.9899621228315%,W,,
2296,NY,New York,06,H0NY06086,,Thomas J.,Zmich,"Zmich, Thomas J.",,CRV,Unopposed,,,,5231,2.23629197055328%,,,74829,31.9899621228315%,W,,
2297,NY,New York,06,H0NY06086,,Thomas J.,Zmich,"Zmich, Thomas J.",,SVC,,,,,1109,0.47410586796857%,,,74829,31.9899621228315%,W,,
2298,NY,New York,06,H0NY06086,,Thomas J.,Zmich,"Zmich, Thomas J.",,LIB,Unopposed,,,,754,0.322340689313166%,,,74829,31.9899621228315%,W,,
2299,NY,New York,06,n/a,,,Scattered,Scattered,,W,,,,,223,0.0953341826483238%,,,,,,,
2300,NY,New York,06,n/a,,,,,District Votes:,,47133,,,,233914,,,,,,,,
2301,NY,New York,07,H2NY00010,(I),Nydia M.,Velazquez,"Velazquez, Nydia M.",,D,56698,79.7249602767271%,,,156889,69.588339920072%,,,191073,84.7507019201341%,W,W,
2302,NY,New York,07,H0NY07092,,Paperboy Love,Prince,"Prince, Paperboy Love",,D,14120,19.854605790458%,,,,,,,,,,,
2303,NY,New York,07,n/a,,,Scattered,Scattered,,W(D),299,0.420433932814939%,,,,,,,,,,,
2304,NY,New York,07,n/a,,,,,Party Votes:,D,71117,,,,,,,,,,,,
