1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
95,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
96,AZ,Arizona,02,H2AZ08102 ,(I),Martha,McSally,"McSally, Martha",,R,69378,100%,,,179806,56.9584926460107%,,,,,W,
97,AZ,Arizona,02,n/a,,,,,Party Votes:,R,69378,,,,,,,,,,,
98,AZ,Arizona,02,H2AZ08078,,Matt,Heinz,"Heinz, Matt",,D,32017,52.7680263700041%,,,135873,43.0415073539893%,,,,,,
99,AZ,Arizona,02,H6AZ02171,,Victoria,Steele,"Steele, Victoria",,D,28658,47.2319736299959%,,,,,,,,,,
100,AZ,Arizona,02,n/a,,,,,Party Votes:,D,60675,,,,,,,,,,,
101,AZ,Arizona,02,H6AZ02213,,Gary,Swing,"Swing, Gary",,W(GRE),38,100%,,,,,,,,,,
102,AZ,Arizona,02,n/a,,,,,Party Votes:,GRE,38,,,,,,,,,,,
103,AZ,Arizona,02,H6AZ02205 ,,"Ed, Jr.",Tilton,"Tilton, Ed, Jr.",,W(LIB),164,100%,,,,,,,,,,
104,AZ,Arizona,02,n/a,,,,,Party Votes:,LIB,164,,,,,,,,,,,
105,,,,n/a,,,,,,,,,,,,,,,,,,
106,AZ,Arizona,02,n/a,,,,,District Votes:,,130255,,,,315679,,,,,,,
107,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
108,AZ,Arizona,03,H2AZ07070 ,(I),Ra£l,Grijalva,"Grijalva, Ra£l",,D,35844,100%,,,148973,98.6347535339491%,,,,,W,
109,AZ,Arizona,03,n/a,,,,,Party Votes:,D,35844,,,,,,,,,,,
110,AZ,Arizona,03,H6AZ03245,,Bill,Abatecola,"Abatecola, Bill",,W,,,,,1303,0.862713940477373%,,,,,,
111,AZ,Arizona,03,H2AZ07161,,Jaime,Vasquez,"Vasquez, Jaime",,W,,,,,332,0.219816598801602%,,,,,,
112,AZ,Arizona,03,H6AZ03211 ,,Harvey,Martin,"Martin, Harvey",,W,,,,,283,0.187373787532691%,,,,,,
113,AZ,Arizona,03,H4AZ03075,,Federico,Sanchez,"Sanchez, Federico",,W,,,,,144,0.0953421392392492%,,,,,,
114,AZ,Arizona,03,H6AZ03237 ,,Mike,Ross,"Ross, Mike",,W(LIB),77,100%,,,,,,,,,,
115,AZ,Arizona,03,n/a,,,,,Party Votes:,LIB,77,,,,,,,,,,,
116,AZ,Arizona,03,n/a,,,,,District Votes:,,35921,,,,151035,,,,,,,
117,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
118,AZ,Arizona,04,H0AZ01259,(I),Paul,Gosar,"Gosar, Paul",,R,64947,71.4189887615738%,,,203487,71.4533522015008%,,,,,W,
119,AZ,Arizona,04,H6AZ04177 ,,Ray,Strauss,"Strauss, Ray",,R,25991,28.5810112384262%,,,,,,,,,,
120,AZ,Arizona,04,n/a,,,,,Party Votes:,R,90938,,,,,,,,,,,
121,AZ,Arizona,04,H2AZ04143 ,,Mikel,Weisser,"Weisser, Mikel",,D,24097,99.797067837323%,,,81296,28.5466477984992%,,,,,,
122,AZ,Arizona,04,H6AZ04185 ,,Robert,Hixon,"Hixon, Robert",,W(D),49,0.202932162677048%,,,,,,,,,,
123,AZ,Arizona,04,n/a,,,,,Party Votes:,D,24146,,,,,,,,,,,
124,AZ,Arizona,04,H6AZ04193,,Jeffery,Daniels,"Daniels, Jeffery",,W(LIB),130,100%,,,,,,,,,,
125,AZ,Arizona,04,n/a,,,,,Party Votes:,LIB,130,,,,,,,,,,,
126,AZ,Arizona,04,n/a,,,,,District Votes:,,115214,,,,284783,,,,,,,
127,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
128,AZ,Arizona,05,H6AZ05083,,Andy,Biggs,"Biggs, Andy",,R,25244,29.4934105991214%,,,205184,64.0951631242893%,,,,,W,
129,AZ,Arizona,05,H6AZ05125,,Christine,Jones,"Jones, Christine",,R,25217,29.4618655949154%,,,,,,,,,,
130,AZ,Arizona,05,H6AZ05117,,Don,Stapley,"Stapley, Don",,R,17745,20.732077764277%,,,,,,,,,,
131,AZ,Arizona,05,H6AZ05091,,Justin,Olson,"Olson, Justin",,R,17386,20.3126460416861%,,,,,,,,,,
132,AZ,Arizona,05,n/a,,,,,Party Votes:,R,85592,,,,,,,,,,,
133,AZ,Arizona,05,H6AZ05133,,Talia,Fuentes,"Fuentes, Talia",,D,16408,65.4461329823302%,,,114940,35.9048368757107%,,,,,,
134,AZ,Arizona,05,H6AZ05141,,Kinsey,Remaklus,"Remaklus, Kinsey",,D,8663,34.5538670176698%,,,,,,,,,,
135,AZ,Arizona,05,n/a,,,,,Party Votes:,D,25071,,,,,,,,,,,
136,AZ,Arizona,05,H6AZ05158 ,,Nolan,Daniels,"Daniels, Nolan",,W(LIB),143,100%,,,,,,,,,,
137,AZ,Arizona,05,n/a,,,,,Party Votes:,LIB,143,,,,,,,,,,,
138,AZ,Arizona,05,n/a,,,,,District Votes:,,110806,,,,320124,,,,,,,
139,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
140,AZ,Arizona,06,H4AZ06045 ,(I),David,Schweikert,"Schweikert, David",,R,63378,80.3137632582718%,,,201578,62.1302905894392%,,,,,W,
141,AZ,Arizona,06,H6AZ06081,,Russ,Wittenberg,"Wittenberg, Russ",,R,15535,19.6862367417282%,,,,,,,,,,
