1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
77,Alaska,AK,00,n/a,,,,,District Votes:,,144297,,,,254335,,,,,
78,Alaska,AK,H,n/a,,,,,Total State Votes:,,144297,,,,254335,,,,,
79,Alaska,AK,,n/a,,,,,,,,,,,,,,,,
80,Alaska,AK,,n/a,,,,,,,,,,,,,,,,
81,Alaska,AK,S,S4AK00099,(I),Lisa ,Murkowski,"Murkowski, Lisa ",,REP/W***,53872,49.0861047835991%,,,92931,36.08438366377%,,,,
82,Alaska,AK,S,S0AK00121,,Joe,Miller,"Miller, Joe",,REP,55878,50.9138952164009%,,,90839,35.2720763537808%,,,,
83,Alaska,AK,S,n/a,,,,,Party Votes:,REP,109750,,,,,,,,,
84,Alaska,AK,S,S0AK00139,,Scott T.,McAdams,"McAdams, Scott T.",,DEM,18035,59.5470003631921%,,,60045,23.3150059408709%,,,,
85,Alaska,AK,S,S0AK00147,,Jacob Seth,Kern,"Kern, Jacob Seth",,DEM,6913,22.8249744114637%,,,,,,,,
86,Alaska,AK,S,S0AK00097,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,DEM,5339,17.6280252253442%,,,,,,,,
87,Alaska,AK,S,n/a,,,,,Party Votes:,DEM,30287,,,,,,,,,
88,Alaska,AK,S,S4AK00099,,,Murkowski,Murkowski,,W (Challenged Counted),,,,,8160,3.16846445961373%,,,,
89,Alaska,AK,S,,,,Murkowski,Murkowski,,W (Challenged NOT Counted),,,,,2035,0.790174653837492%,,,,
90,Alaska,AK,S,S8AK00165,,"Fredrick ""David""",Haase,"Haase, Fredrick ""David""",,LIB,5793,100%,,,1459,0.566518339041229%,,,,
91,Alaska,AK,S,n/a,,,,,Party Votes:,LIB,5793,,,,,,,,,
92,Alaska,AK,S,S0AK00154,,Tim,Carter,"Carter, Tim",,NAF,,,,,927,0.359946881625236%,,,,
93,Alaska,AK,S,n/a,,,Other - Misc. Names,Other - Misc. Names,,W,,,,,602,0.23375191233915%,,,,
94,Alaska,AK,S,S4AK00115,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,,,,,458,0.177837833640084%,,,,
95,Alaska,AK,S,S0AK00121,,Joe,Miller,"Miller, Joe",,W,,,,,21,0.00815413647694709%,,,,
96,Alaska,AK,S,S0AK00162,,Sid,Hill,"Hill, Sid",,W,,,,,13,0.00504779877144344%,,,,
97,Alaska,AK,S,n/a,,,McAdams,McAdams,,W,,,,,8,0.00310633770550365%,,,,
98,Alaska,AK,S,n/a,,Edward D.,Marin Jr.,"Marin Jr., Edward D.",,W,,,,,6,0.00232975327912774%,,,,
99,Alaska,AK,S,n/a,,Red K.,Bradley,"Bradley, Red K.",,W,,,,,3,0.00116487663956387%,,,,
100,Alaska,AK,S,n/a,,Guy A.,Cummins,"Cummins, Guy A.",,W,,,,,2,0.000776584426375913%,,,,
101,Alaska,AK,S,n/a,,Lisa M.,Lackey,"Lackey, Lisa M.",,W,,,,,2,0.000776584426375913%,,,,
102,Alaska,AK,S,n/a,,Richard,McGahan,"McGahan, Richard",,W,,,,,2,0.000776584426375913%,,,,
103,Alaska,AK,S,n/a,,Marvin Roger,Moser,"Moser, Marvin Roger",,W,,,,,2,0.000776584426375913%,,,,
104,Alaska,AK,S,n/a,,Karen,Perry,"Perry, Karen",,W,,,,,2,0.000776584426375913%,,,,
105,Alaska,AK,S,n/a,,Eileen M.,Ransom,"Ransom, Eileen M.",,W,,,,,2,0.000776584426375913%,,,,
106,Alaska,AK,S,n/a,,Jed,Whittaker,"Whittaker, Jed",,W,,,,,2,0.000776584426375913%,,,,
107,Alaska,AK,S,n/a,,Michael,Ames,"Ames, Michael",,W,,,,,1,0.000388292213187957%,,,,
108,Alaska,AK,S,n/a,,Kevin,Austin,"Austin, Kevin",,W,,,,,1,0.000391384836968646%,,,,
109,Alaska,AK,S,n/a,,David E.,Beeman,"Beeman, David E.",,W,,,,,1,0.000391384836968646%,,,,
110,Alaska,AK,S,n/a,,Vicky L.,Beeman,"Beeman, Vicky L.",,W,,,,,1,0.000391384836968646%,,,,
111,Alaska,AK,S,n/a,,David,Boyle,"Boyle, David",,W,,,,,1,0.000391384836968646%,,,,
112,Alaska,AK,S,n/a,,Michael,Butler,"Butler, Michael",,W,,,,,1,0.000391384836968646%,,,,
113,Alaska,AK,S,n/a,,Margaret A.,Crowell,"Crowell, Margaret A.",,W,,,,,1,0.000391384836968646%,,,,
114,Alaska,AK,S,n/a,,Chris S.,Dillingham,"Dillingham, Chris S.",,W,,,,,1,0.000391384836968646%,,,,
115,Alaska,AK,S,n/a,,David S.,George,"George, David S.",,W,,,,,1,0.000391384836968646%,,,,
116,Alaska,AK,S,n/a,,Alan D.,Humphries,"Humphries, Alan D.",,W,,,,,1,0.000391384836968646%,,,,
117,Alaska,AK,S,n/a,,Petter M.,Johnson,"Johnson, Petter M.",,W,,,,,1,0.000391384836968646%,,,,
