1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (MS Senate),GE RUNOFF ELECTION % (MS Senate),"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
156,AZ,Arizona,09,n/a,,,,,Party Votes:,D,59066,,,,,,,,,,,
157,AZ,Arizona,09,H8AZ09024,,Stephen L.,Ferrara,"Ferrara, Stephen L.",,R,31006,59.9172914895262%,,,101662,38.9144289842868%,,,,,,
158,AZ,Arizona,09,H6AZ09010,,Dave,Giles,"Giles, Dave",,R,16722,32.3142923398006%,,,,,,,,,,
159,AZ,Arizona,09,H8AZ09016,,Irina,Baroness Von Behr,"Baroness Von Behr, Irina",,R,4020,7.76841617067326%,,,,,,,,,,
160,AZ,Arizona,09,n/a,,,,,Party Votes:,R,51748,,,,,,,,,,,
161,AZ,Arizona,09,n/a,,,,,District Votes:,,110814,,,,261245,,,,,,,
162,AZ,Arizona,H,n/a,,,,,,,,,,,,,,,,,,
163,AZ,Arizona,H,n/a,,,,,Total State Votes:,,1056837,,,,2341270,,,,,,,
164,,,,n/a,,,,,,,,,,,,,,,,,,
165,AR,Arkansas,01,H0AR01083,(I),Rick,Crawford,"Crawford, Rick",,R,Unopposed,,,,138757,68.9492906656066%,,,,,W,
166,AR,Arkansas,01,H8AR01029,,Chintan,Desai,"Desai, Chintan",,D,Unopposed,,,,57907,28.7743794876891%,,,,,,
167,AR,Arkansas,01,H8AR01045,,Elvis,Presley,"Presley, Elvis",,LIB,,,,,4581,2.27632984670427%,,,,,,
168,AR,Arkansas,01,n/a,,,,,District Votes:,,,,,,201245,,,,,,,
169,AR,Arkansas,02,H4AR02141,(I),French,Hill,"Hill, French",,R,Unopposed,,,,132125,52.1299807064821%,,,,,W,
170,AR,Arkansas,02,H8AR02159,,Clarke,Tucker,"Tucker, Clarke",,D,23325,57.8152885187389%,,,116135,45.8211187083996%,,,,,,
171,AR,Arkansas,02,H8AR02142,,Gewn,Combs,"Combs, Gwen",,D,8188,20.2954590521515%,,,,,,,,,,
172,AR,Arkansas,02,H8AR02134,,Paul J.,Spencer,"Spencer, Paul J.",,D,5063,12.5495736664684%,,,,,,,,,,
173,AR,Arkansas,02,H8AR02167,,Jonathan,Dunkley,"Dunkley, Jonathan",,D,3768,9.33967876264128%,,,,,,,,,,
174,AR,Arkansas,02,n/a,,,,,Party Votes:,D,40344,,,,,,,,,,,
175,AR,Arkansas,02,H8AR02175,,Joe Ryne,Swafford,"Swafford, Joe Ryne",,LIB,,,,,5193,2.04890058511835%,,,,,,
176,AR,Arkansas,02,n/a,,,,,District Votes:,,40344,,,,253453,,,,,,,
177,AR,Arkansas,03,H0AR03055,(I),Steve,Womack,"Womack, Steve",,R,47757,84.1607190060798%,,,148717,64.741759102861%,,,,,W,
178,AR,Arkansas,03,H8AR03066,,Robb,Ryerse,"Ryerse, Robb",,R,8988,15.8392809939202%,,,,,,,,,,
179,AR,Arkansas,03,n/a,,,,,Party Votes:,R,56745,,,,,,,,,,,
180,AR,Arkansas,03,H8AR03074,,Josh,Mahony,"Mahony, Josh",,D,Unopposed,,,,74952,32.6292510491581%,,,,,,
181,AR,Arkansas,03,H8AR03090,,Michael J.,Kalagias,"Kalagias, Michael J.",,LIB,,,,,5899,2.5680429066467%,,,,,,
182,AR,Arkansas,03,H8AR03108,,Jason,Tate,"Tate, Jason",,W,,,,,140,0.0609469413342156%,,,,,,
183,AR,Arkansas,03,n/a,,,,,District Votes:,,56745,,,,229708,,,,,,,
184,AR,Arkansas,04,H4AR04048,(I),Bruce,Westerman,"Westerman, Bruce",,R,40201,79.8399269145218%,,,136740,66.7375983444937%,,,,,W,
185,AR,Arkansas,04,H8AR04148,,Randy,Caldwell,"Caldwell, Randy",,R,10151,20.1600730854782%,,,,,,,,,,
186,AR,Arkansas,04,n/a,,,,,Party Votes:,R,50352,,,,,,,,,,,
187,AR,Arkansas,04,H8AR04130,,Hayden Catherine,Shamel,"Shamel, Hayden Catherine",,D,Unopposed,,,,63984,31.228159225348%,,,,,,
188,AR,Arkansas,04,H8AR04171,,Tom,Canada,"Canada, Tom",,LIB,,,,,3952,1.92882103742459%,,,,,,
189,AR,Arkansas,04,H8AR04155,,Susan Ann,Martin,"Martin, Susan Ann",,W,,,,,216,0.105421392733733%,,,,,,
190,AR,Arkansas,04,n/a,,,,,District Votes:,,50352,,,,204892,,,,,,,
191,AR,Arkansas,H,n/a,,,,,,,,,,,,,,,,,,
192,AR,Arkansas,H,n/a,,,,,Total State Votes:,,147441,,,,889298,,,,,,,
193,,,,n/a,,,,,,,,,,,,,,,,,,
194,CA,California,01,H2CA02142,(I),Doug,La Malfa,"La Malfa, Doug",,R,98354,51.6643816547688%,,,160046,54.8865888872885%,,,,,W,
195,CA,California,01,H8CA01257,,Audrey,Denney,"Denney, Audrey",,D,34121,17.923423210468%,,,131548,45.1134111127115%,,,,,,
196,CA,California,01,H8CA01190,,Jessica Jones,Holcombe,"Holcombe, Jessica Jones",,D,22306,11.7171207799507%,,,,,,,,,,
197,CA,California,01,H8CA01208,,Marty,Walters,"Walters, Marty",,D,16032,8.42145074617458%,,,,,,,,,,
198,CA,California,01,H2CA01136,,Gregory Edward,Cheadle,"Cheadle, Gregory Edward",,R,11660,6.12488246634204%,,,,,,,,,,
199,CA,California,01,H6CA01202,,David,Peterson,"Peterson, David",,D,5707,2.9978305519223%,,,,,,,,,,
200,CA,California,01,H8CA01240,,Lewis,Elbinger,"Elbinger, Lewis",,GRE,2191,1.15091059037353%,,,,,,,,,,
201,CA,California,01,n/a,,,,,District Votes:,,190371,,,,291594,,,,,,,
202,CA,California,,n/a,,,,,,,,,,,,,,,,,,
203,CA,California,02,H2CA06259,(I),Jared W.,Huffman,"Huffman, Jared W.",,D,144005,72.4790497521202%,,,243081,77.0079548370541%,,,,,W,
204,CA,California,02,H4CA02098,,Dale K.,Mensing,"Mensing, Dale K.",,R,41608,20.9416916224174%,,,72576,22.9920451629459%,,,,,,
205,CA,California,02,H6CA02226,,Andy,Caffrey,"Caffrey, Andy",,D,13072,6.57925862546242%,,,,,,,,,,
206,CA,California,02,n/a,,,,,District Votes:,,198685,,,,315657,,,,,,,
207,CA,California,0,n/a,,,,,,,,,,,,,,,,,,
208,CA,California,03,H0CA10149,(I),John,Garamendi,"Garamendi, John",,D,74552,53.5878839283789%,,,134875,58.072946941025%,,,,,W,
209,CA,California,03,H6CA03067,,Charlie,Schaupp,"Schaupp, Charlie",,R,58598,42.120168773945%,,,97376,41.927053058975%,,,,,,
210,CA,California,03,H8CA03170,,Kevin,Puett,"Puett, Kevin",,D,5971,4.29194729767612%,,,,,,,,,,
211,CA,California,03,n/a,,,,,District Votes:,,139121,,,,232251,,,,,,,
