FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
H2AZ01263,AZ,01,Edwin,Porr,"Porr, Edwin",,LBT,286,54.0642722117202%,,,8990,5.14634746718416%,,,,
H2AZ01255,AZ,01,Andy,Fernandez,"Fernandez, Andy",,LBT,243,45.9357277882798%,,,,,,,,
,AZ,01,,,   ,Total Party Votes:,LBT,529,,,,,,,,,
,AZ,01,,,   ,Total District Votes:,,100926,,,,174687,,,,,
H4AZ04024,AZ,02,Trent,Franks,"Franks, Trent",,R,14749,27.6623279192768%,,,100359,59.9151054912777%,,,,
H2AZ02188,AZ,02,Lisa,Atkins,"Atkins, Lisa",,R,13952,26.1675231629093%,,,,,,,,
H2AZ02212,AZ,02,John,Keegan,"Keegan, John",,R,10560,19.8056941370644%,,,,,,,,
H2AZ02196,AZ,02,Scott,Bundgaard,"Bundgaard, Scott",,R,8701,16.3190667316854%,,,,,,,,
H2AZ03079,AZ,02,Dusko,Jovicic,"Jovicic, Dusko",,R,3805,7.13642672268277%,,,,,,,,
H2AZ02238,AZ,02,Mike,Schaefer,"Schaefer, Mike",,R,933,1.74987808995086%,,,,,,,,
H8AZ03076,AZ,02,Dick,Hensley,"Hensley, Dick",,R,618,1.15908323643047%,,,,,,,,
,AZ,02,,,   ,Total Party Votes:,R,53318,,,,,,,,,
H2AZ02220,AZ,02,Randy,Camacho,"Camacho, Randy",,D,6507,33.015373687148%,,,61217,36.5470263041635%,,,,
H2AZ03053,AZ,02,Elizabeth (Liz),Farley,"Farley, Elizabeth (Liz)",,D,5994,30.4125019026841%,,,,,,,,
H2AZ02204,AZ,02,Sandy,Reagan,"Reagan, Sandy",,D,3857,19.5697397128216%,,,,,,,,
H0AZ03263,AZ,02,Linda,Calvert,"Calvert, Linda",,D,3323,16.8603176213912%,,,,,,,,
H0AZ03248,AZ,02,Gene ,Scharer,"Scharer, Gene ",,W(D),28,0.142067075955147%,,,,,,,,
,AZ,02,,,   ,Total Party Votes:,D,19709,,,,,,,,,
H0AZ03271,AZ,02,Edward,Carlson,"Carlson, Edward",,LBT,307,100%,,,5919,3.5336891499803%,,,,
,AZ,02,,,   ,Total Party Votes:,LBT,307,,,,,,,,,
H2AZ02246,AZ,02,William,Crum,"Crum, William",,W,,,,,7,0.0041790545784528%,,,,
,AZ,02,,,   ,Total District Votes:,,73334,,,,167502,,,,,
H4AZ04016,AZ,03,John,Shadegg,"Shadegg, John",,R,36500,100%,,,104847,67.3170637748714%,,,(I),
,AZ,03,,,   ,Total Party Votes:,R,36500,,,,,,,,,
H2AZ03061,AZ,03,Charles,Hill,"Hill, Charles",,D,14336,100%,,,47173,30.2874459875057%,,,,
,AZ,03,,,   ,Total Party Votes:,D,14336,,,,,,,,,
H4AZ04073,AZ,03,Mark,Yannone,"Yannone, Mark",,LBT,186,58.125%,,,3731,2.39549023762287%,,,,
H0AZ04477,AZ,03,Edward,Gaudreau,"Gaudreau, Edward",,LBT,134,41.875%,,,,,,,,
,AZ,03,,,   ,Total Party Votes:,LBT,320,,,,,,,,,
,AZ,03,,,   ,Total District Votes:,,51156,,,,155751,,,,,
H2AZ02055,AZ,04,Ed,Pastor,"Pastor, Ed",,D,17051,100%,,,44517,67.3836373268751%,,,(I),
,AZ,04,,,   ,Total Party Votes:,D,17051,,,,,,,,,
H2AZ04093,AZ,04,Jonathan,Barnert,"Barnert, Jonathan",,R,5616,74.591579226989%,,,18381,27.8225989555741%,,,,
H2AZ04101,AZ,04,Don,Karg,"Karg, Don",,R,1913,25.408420773011%,,,,,,,,
,AZ,04,,,   ,Total Party Votes:,R,7529,,,,,,,,,
H2AZ04119,AZ,04,Amy ,Gibbons,"Gibbons, Amy ",,W(LBT)/LBT,20,86.9565217391304%,,,3167,4.7937637175509%,,,,
,AZ,04,Richard ,Sutton,"Sutton, Richard ",,W(LBT)  ,3,13.0434782608696%,,,,,,,,
,AZ,04,,,   ,Total Party Votes:,LBT,23,,,,,,,,,
,AZ,04,,,   ,Total District Votes:,,24603,,,,66065,,,,,
H4AZ06052,AZ,05,J.D.,Hayworth,"Hayworth, J.D.",,R,37325,100%,,,103870,61.167644218312%,,,(I),
,AZ,05,,,   ,Total Party Votes:,R,37325,,,,,,,,,
H2AZ05108,AZ,05,Craig,Columbus,"Columbus, Craig",,D,8147,49.0281037491725%,,,61559,36.2512661060467%,,,,
H2AZ05090,AZ,05,Larry,King,"King, Larry",,D,4903,29.50592766444%,,,,,,,,
H2AZ05116,AZ,05,Ronald E.,Maynard,"Maynard, Ronald E.",,D,3567,21.4659685863874%,,,,,,,,
,AZ,05,,,   ,Total Party Votes:,D,16617,,,,,,,,,
H2AZ05124,AZ,05,Warren,Severin,"Severin, Warren",,W(LBT)/LBT,64,100%,,,4383,2.5810896756413%,,,,
,AZ,05,,,   ,Total Party Votes:,LBT,64,,,,,,,,,
,AZ,05,,,   ,Total District Votes:,,54006,,,,169812,,,,,
H0AZ01184,AZ,06,Jeff,Flake,"Flake, Jeff",,R,41025,100%,,,103094,65.9434426911096%,,,(I),
,AZ,06,,,   ,Total Party Votes:,R,41025,,,,,,,,,
H2AZ06106,AZ,06,Deborah,Thomas,"Thomas, Deborah",,D,13720,100%,,,49355,31.5696220344512%,,,,
,AZ,06,,,   ,Total Party Votes:,D,13720,,,,,,,,,
H2AZ06114,AZ,06,Andy ,Wagner,"Wagner, Andy ",,W(LBT)/LBT,8,100%,,,3888,2.48693527443919%,,,,
,AZ,06,,,   ,Total Party Votes:,LBT,8,,,,,,,,,
,AZ,06,,,   ,Total District Votes:,,54753,,,,156337,,,,,
H2AZ07070,AZ,07,Ra£l M.,Grijalva,"Grijalva, Ra£l M.",,D,14835,40.8452643171806%,,,61256,59.0032556974706%,,,,
H2AZ07039,AZ,07,Elaine,Richardson,"Richardson, Elaine",,D,7589,20.8948237885463%,,,,,,,,
H2AZ07062,AZ,07,Jaime P.,Gutierrez,"Gutierrez, Jaime P.",,D,5401,14.8705947136564%,,,,,,,,
H2AZ07047,AZ,07,Lisa,Otondo,"Otondo, Lisa",,D,2302,6.33810572687225%,,,,,,,,
H6AZ02015,AZ,07,Luis Armando,Gonzales,"Gonzales, Luis Armando",,D,2105,5.79570484581498%,,,,,,,,
H2AZ07054,AZ,07,Mark,Fleisher,"Fleisher, Mark",,D,2022,5.56718061674009%,,,,,,,,
H2AZ07104,AZ,07,Sherry,Smith,"Smith, Sherry",,D,1058,2.91299559471366%,,,,,,,,
H2AZ07021,AZ,07,Jes£s,Romo,"Romo, Jes£s",,D,1008,2.77533039647577%,,,,,,,,
,AZ,07,,,   ,Total Party Votes:,D,36320,,,,,,,,,
H2AZ07013,AZ,07,Ross,Hieb,"Hieb, Ross",,R,6426,40.7069555302166%,,,38474,37.0590841665222%,,,,
